TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:10:21:22:38,64.00,22.80,22.54,983.24,260.72,455.90
2022:4:10:21:22:40,64.00,22.80,22.54,983.23,260.79,455.90
2022:4:10:21:22:42,64.00,22.80,22.54,983.22,260.87,455.90
2022:4:10:21:22:44,64.00,22.80,22.54,983.25,260.63,455.90
2022:4:10:21:22:46,64.00,22.80,22.54,983.22,260.93,455.90
2022:4:10:21:22:48,64.00,22.80,22.54,983.26,260.56,455.90
2022:4:10:21:22:50,64.00,22.80,22.54,983.28,260.37,455.90
2022:4:10:21:22:52,64.00,22.80,22.54,983.23,260.82,455.90
2022:4:10:21:22:54,64.00,22.80,22.54,983.25,260.66,455.90
2022:4:10:21:22:56,64.00,22.80,22.53,983.25,260.67,455.90
2022:4:10:21:22:59,64.00,22.80,22.54,983.25,260.61,455.90
2022:4:10:21:23:1,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:3,64.00,22.80,22.52,983.23,260.83,455.90
2022:4:10:21:23:5,64.00,22.80,22.53,983.28,260.42,455.90
2022:4:10:21:23:7,64.00,22.90,22.52,983.24,260.69,455.90
2022:4:10:21:23:9,64.00,22.80,22.52,983.25,260.66,455.90
2022:4:10:21:23:11,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:13,64.00,22.80,22.52,983.23,260.78,455.90
2022:4:10:21:23:15,64.00,22.80,22.52,983.24,260.71,455.90
2022:4:10:21:23:17,64.00,22.80,22.51,983.22,260.86,455.90
2022:4:10:21:23:19,64.00,22.80,22.52,983.24,260.75,455.90
2022:4:10:21:23:21,64.00,22.80,22.52,983.26,260.58,455.90
2022:4:10:21:23:23,64.00,22.80,22.52,983.22,260.91,455.90
2022:4:10:21:23:26,64.00,22.80,22.52,983.25,260.62,455.90
2022:4:10:21:23:28,64.00,22.80,22.51,983.24,260.70,455.90
2022:4:10:21:23:30,64.00,22.80,22.52,983.24,260.69,455.90
2022:4:10:21:23:32,64.00,22.80,22.52,983.24,260.74,455.90
2022:4:10:21:23:34,64.00,22.80,22.52,983.26,260.52,455.90
2022:4:10:21:23:36,64.00,22.80,22.52,983.22,260.93,455.90
2022:4:10:21:23:38,64.00,22.80,22.52,983.22,260.87,455.90
2022:4:10:21:23:40,64.00,22.80,22.53,983.25,260.62,455.90
